area_code,area_name,period,indicator,measure,unit,value
E06000055,Bedford,2020-07,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,21.9
E06000055,Bedford,2020-10,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,27.7
E06000055,Bedford,2021-01,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,28.9
E06000055,Bedford,2021-04,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,36.4
E06000055,Bedford,2021-07,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,49.8
E06000055,Bedford,2021-10,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,58.4
E06000055,Bedford,2022-01,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,60.1
E06000055,Bedford,2022-04,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,63
E06000055,Bedford,2022-07,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,57.2
E06000055,Bedford,2022-10,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,65.8
E06000055,Bedford,2023-01,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,59.2
E06000055,Bedford,2023-04,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,54.9
E08000002,Bury,2020-07,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,12.6
E08000002,Bury,2020-10,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,8.9
E08000002,Bury,2021-01,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,8.9
E08000002,Bury,2021-04,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,8.9
E08000002,Bury,2021-07,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,8.9
E08000002,Bury,2021-10,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,11.5
E08000002,Bury,2022-01,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,12.1
E08000002,Bury,2022-04,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,11.5
E08000002,Bury,2022-07,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,12.1
E08000002,Bury,2022-10,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,13.6
E08000002,Bury,2023-01,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,20.6
E08000002,Bury,2023-04,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,15
E06000050,Cheshire West and Chester,2020-07,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,14.3
E06000050,Cheshire West and Chester,2020-10,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,16
E06000050,Cheshire West and Chester,2021-01,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,16.6
E06000050,Cheshire West and Chester,2021-04,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,20.1
E06000050,Cheshire West and Chester,2021-07,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,24.1
E06000050,Cheshire West and Chester,2021-10,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,28.8
E06000050,Cheshire West and Chester,2022-01,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,29.4
E06000050,Cheshire West and Chester,2022-04,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,30
E06000050,Cheshire West and Chester,2022-07,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,30.5
E06000050,Cheshire West and Chester,2022-10,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,33.7
E06000050,Cheshire West and Chester,2023-01,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,31.9
E06000050,Cheshire West and Chester,2023-04,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,31.9
E06000015,Derby,2020-07,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,22.5
E06000015,Derby,2020-10,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,22.9
E06000015,Derby,2021-01,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,22.9
E06000015,Derby,2021-04,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,24.1
E06000015,Derby,2021-07,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,24.9
E06000015,Derby,2021-10,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,25.3
E06000015,Derby,2022-01,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,27.3
E06000015,Derby,2022-04,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,29.6
